Date,Hour,Toronto,weekday,Toronto_Previous_Day
2003-05-01,1,4422,1,4422
2003-05-01,2,4340,1,4340
2003-05-01,3,4281,1,4281
2003-05-01,4,4281,1,4281
2003-05-01,5,4469,1,4469
2003-05-01,6,4951,1,4951
2003-05-01,7,5692,1,5692
2003-05-01,8,6105,1,6105
2003-05-01,9,6244,1,6244
2003-05-01,10,6323,1,6323
2003-05-01,11,6402,1,6402
2003-05-01,12,6426,1,6426
2003-05-01,13,6447,1,6447
2003-05-01,14,6398,1,6398
2003-05-01,15,6358,1,6358
2003-05-01,16,6349,1,6349
2003-05-01,17,6288,1,6288
2003-05-01,18,6152,1,6152
2003-05-01,19,6049,1,6049
2003-05-01,20,6148,1,6148
2003-05-01,21,6038,1,6038
2003-05-01,22,5592,1,5592
2003-05-01,23,5041,1,5041
2003-05-01,24,4643,1,
2003-05-02,1,4428,1,4422
2003-05-02,2,4293,1,4340
2003-05-02,3,4225,1,4281
2003-05-02,4,4223,1,4281
2003-05-02,5,4403,1,4469
2003-05-02,6,4876,1,4951
2003-05-02,7,5545,1,5692
2003-05-02,8,5921,1,6105
2003-05-02,9,6112,1,6244
2003-05-02,10,6258,1,6323
2003-05-02,11,6318,1,6402
2003-05-02,12,6294,1,6426
2003-05-02,13,6266,1,6447
2003-05-02,14,6191,1,6398
2003-05-02,15,6105,1,6358
2003-05-02,16,6029,1,6349
2003-05-02,17,5936,1,6288
2003-05-02,18,5787,1,6152
2003-05-02,19,5698,1,6049
2003-05-02,20,5794,1,6148
2003-05-02,21,5801,1,6038
2003-05-02,22,5772,1,5592
2003-05-02,23,5673,1,5041
2003-05-02,24,4899,1,4643
2003-05-03,1,4606,0,4428
2003-05-03,2,4146,0,4293
2003-05-03,3,4063,0,4225
2003-05-03,4,4036,0,4223
2003-05-03,5,4093,0,4403
2003-05-03,6,4168,0,4876
2003-05-03,7,4479,0,5545
2003-05-03,8,4843,0,5921
2003-05-03,9,5164,0,6112
2003-05-03,10,5361,0,6258
2003-05-03,11,5435,0,6318
2003-05-03,12,5400,0,6294
2003-05-03,13,5315,0,6266
2003-05-03,14,5209,0,6191
2003-05-03,15,5116,0,6105
2003-05-03,16,5098,0,6029
2003-05-03,17,5086,0,5936
2003-05-03,18,5005,0,5787
2003-05-03,19,4917,0,5698
2003-05-03,20,5077,0,5794
2003-05-03,21,5180,0,5801
2003-05-03,22,4978,0,5772
2003-05-03,23,4647,0,5673
2003-05-03,24,4332,0,4899
2003-05-04,1,4142,0,4606
2003-05-04,2,3997,0,4146
2003-05-04,3,3930,0,4063
2003-05-04,4,3893,0,4036
2003-05-04,5,3911,0,4093
2003-05-04,6,3905,0,4168
2003-05-04,7,4052,0,4479
2003-05-04,8,4360,0,4843
2003-05-04,9,4641,0,5164
2003-05-04,10,4856,0,5361
2003-05-04,11,5025,0,5435
2003-05-04,12,5076,0,5400
2003-05-04,13,5015,0,5315
2003-05-04,14,4893,0,5209
2003-05-04,15,4901,0,5116
2003-05-04,16,4914,0,5098
2003-05-04,17,4982,0,5086
2003-05-04,18,4964,0,5005
2003-05-04,19,4954,0,4917
2003-05-04,20,5159,0,5077
2003-05-04,21,5291,0,5180
2003-05-04,22,5047,0,4978
2003-05-04,23,4648,0,4647
2003-05-04,24,4366,0,4332
2003-05-05,1,4193,1,4142
