Date,Hour,Toronto,weekday
2003-05-01,1,4422,1
2003-05-01,2,4340,1
2003-05-01,3,4281,1
2003-05-01,4,4281,1
2003-05-01,5,4469,1
2003-05-01,6,4951,1
2003-05-01,7,5692,1
2003-05-01,8,6105,1
2003-05-01,9,6244,1
2003-05-01,10,6323,1
2003-05-01,11,6402,1
2003-05-01,12,6426,1
2003-05-01,13,6447,1
2003-05-01,14,6398,1
2003-05-01,15,6358,1
2003-05-01,16,6349,1
2003-05-01,17,6288,1
2003-05-01,18,6152,1
2003-05-01,19,6049,1
2003-05-01,20,6148,1
2003-05-01,21,6038,1
2003-05-01,22,5592,1
2003-05-01,23,5041,1
2003-05-01,24,4643,1
2003-05-02,1,4428,1
2003-05-02,2,4293,1
2003-05-02,3,4225,1
2003-05-02,4,4223,1
2003-05-02,5,4403,1
2003-05-02,6,4876,1
2003-05-02,7,5545,1
2003-05-02,8,5921,1
2003-05-02,9,6112,1
2003-05-02,10,6258,1
2003-05-02,11,6318,1
2003-05-02,12,6294,1
2003-05-02,13,6266,1
2003-05-02,14,6191,1
2003-05-02,15,6105,1
2003-05-02,16,6029,1
2003-05-02,17,5936,1
2003-05-02,18,5787,1
2003-05-02,19,5698,1
2003-05-02,20,5794,1
2003-05-02,21,5801,1
2003-05-02,22,5772,1
2003-05-02,23,5673,1
2003-05-02,24,4899,1
2003-05-03,1,4606,0
2003-05-03,2,4146,0
2003-05-03,3,4063,0
2003-05-03,4,4036,0
2003-05-03,5,4093,0
2003-05-03,6,4168,0
2003-05-03,7,4479,0
2003-05-03,8,4843,0
2003-05-03,9,5164,0
2003-05-03,10,5361,0
2003-05-03,11,5435,0
2003-05-03,12,5400,0
2003-05-03,13,5315,0
2003-05-03,14,5209,0
2003-05-03,15,5116,0
2003-05-03,16,5098,0
2003-05-03,17,5086,0
2003-05-03,18,5005,0
2003-05-03,19,4917,0
2003-05-03,20,5077,0
2003-05-03,21,5180,0
2003-05-03,22,4978,0
2003-05-03,23,4647,0
2003-05-03,24,4332,0
2003-05-04,1,4142,0
2003-05-04,2,3997,0
2003-05-04,3,3930,0
2003-05-04,4,3893,0
2003-05-04,5,3911,0
2003-05-04,6,3905,0
2003-05-04,7,4052,0
2003-05-04,8,4360,0
2003-05-04,9,4641,0
