,dt,timezone,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all,weather_main,weather_description,Date,Hour
345603,1499644800,-14400,23.02,19.81,20.0,25.0,1013,46,4.95,227,92,Clouds,overcast clouds,2017-07-10,00
345604,1499648400,-14400,22.36,19.46,19.0,24.6,1013,48,4.53,229,99,Clouds,overcast clouds,2017-07-10,01
345605,1499652000,-14400,21.04,17.65,18.2,23.1,1014,46,4.52,230,97,Clouds,overcast clouds,2017-07-10,02
345606,1499655600,-14400,19.61,18.26,18.2,20.85,1014,64,3.09,270,90,Clouds,overcast clouds,2017-07-10,03
345607,1499659200,-14400,19.33,18.79,18.0,20.39,1014,81,3.6,246,89,Rain,light rain,2017-07-10,04
345608,1499662800,-14400,19.01,18.55,17.5,20.0,1014,76,2.8,247,73,Rain,light rain,2017-07-10,05
345609,1499666400,-14400,18.67,18.45,17.5,19.4,1014,76,2.29,244,65,Clouds,broken clouds,2017-07-10,06
345610,1499670000,-14400,17.75,18.92,17.0,18.5,1014,88,1.03,210,90,Clouds,overcast clouds,2017-07-10,07
345611,1499673600,-14400,17.95,17.56,17.0,19.0,1013,78,2.39,226,50,Clouds,scattered clouds,2017-07-10,08
345612,1499677200,-14400,18.12,17.57,17.0,19.0,1013,78,2.7,223,30,Clouds,scattered clouds,2017-07-10,09
345613,1499680800,-14400,17.96,16.83,17.0,19.1,1013,70,2.68,227,45,Clouds,scattered clouds,2017-07-10,10
345614,1499684400,-14400,18.68,17.63,18.0,20.0,1013,71,2.98,225,33,Clouds,scattered clouds,2017-07-10,11
345615,1499688000,-14400,19.06,18.17,18.0,20.1,1013,71,2.92,230,83,Clouds,broken clouds,2017-07-10,12
345616,1499691600,-14400,19.78,19.29,18.45,21.0,1013,70,2.58,220,100,Clouds,overcast clouds,2017-07-10,13
345617,1499695200,-14400,21.35,20.89,19.12,24.0,1013,69,3.18,229,100,Clouds,overcast clouds,2017-07-10,14
345618,1499698800,-14400,22.18,21.57,19.93,24.0,1013,61,2.82,218,100,Clouds,overcast clouds,2017-07-10,15
345619,1499702400,-14400,23.34,22.82,20.78,25.0,1013,60,3.12,209,100,Clouds,overcast clouds,2017-07-10,16
345620,1499706000,-14400,24.19,23.06,21.39,25.2,1013,58,4.13,201,100,Clouds,overcast clouds,2017-07-10,17
345621,1499709600,-14400,23.82,21.9,21.69,25.2,1013,58,5.07,195,100,Clouds,overcast clouds,2017-07-10,18
345622,1499713200,-14400,22.96,20.69,21.0,25.2,1013,61,5.56,198,100,Rain,light rain,2017-07-10,19
345623,1499716800,-14400,21.68,21.35,20.0,24.0,1012,77,4.14,202,100,Rain,light rain,2017-07-10,20
345624,1499720400,-14400,21.76,21.21,19.0,24.0,1012,74,4.13,207,100,Rain,light rain,2017-07-10,21
345625,1499724000,-14400,21.44,21.96,19.99,23.0,1012,76,2.67,207,100,Rain,light rain,2017-07-10,22
345626,1499727600,-14400,21.28,21.35,19.0,23.0,1011,77,3.34,200,92,Rain,light rain,2017-07-10,23
345627,1499731200,-14400,20.94,21.12,18.0,23.0,1012,79,3.23,200,84,Clouds,broken clouds,2017-07-11,00
345628,1499734800,-14400,20.7,20.99,19.0,22.2,1012,81,3.17,214,64,Clouds,broken clouds,2017-07-11,01
345629,1499738400,-14400,20.2,20.61,18.89,21.0,1012,80,2.6,222,44,Clouds,scattered clouds,2017-07-11,02
345630,1499742000,-14400,19.62,20.79,18.52,20.2,1012,83,1.53,223,16,Clouds,few clouds,2017-07-11,03
345631,1499745600,-14400,18.75,19.42,18.0,19.4,1012,88,2.28,225,5,Clear,sky is clear,2017-07-11,04
345632,1499749200,-14400,18.64,19.07,17.61,19.2,1012,89,2.67,246,9,Clear,sky is clear,2017-07-11,05
345633,1499752800,-14400,17.6,18.28,16.0,18.93,1012,90,1.84,278,2,Clear,sky is clear,2017-07-11,06
345634,1499756400,-14400,17.59,18.62,16.81,18.79,1012,92,1.52,292,0,Clear,sky is clear,2017-07-11,07
345635,1499760000,-14400,17.15,17.69,16.0,18.2,1011,92,1.98,269,0,Clear,sky is clear,2017-07-11,08
345636,1499763600,-14400,17.34,18.16,16.0,18.2,1011,90,1.5,253,1,Clear,sky is clear,2017-07-11,09
345637,1499767200,-14400,17.12,17.54,16.0,18.03,1012,86,1.58,235,100,Clouds,overcast clouds,2017-07-11,10
345638,1499770800,-14400,17.65,18.64,16.0,19.0,1013,92,1.61,230,100,Clouds,overcast clouds,2017-07-11,11
345639,1499774400,-14400,18.51,19.42,17.0,20.0,1012,85,1.51,237,100,Clouds,overcast clouds,2017-07-11,12
345640,1499778000,-14400,19.51,20.53,17.0,22.0,1013,81,1.47,224,91,Clouds,overcast clouds,2017-07-11,13
345641,1499781600,-14400,20.44,21.44,17.87,22.0,1013,77,1.55,203,44,Clouds,scattered clouds,2017-07-11,14
345642,1499785200,-14400,21.97,22.95,18.51,24.0,1013,69,1.45,199,68,Clouds,broken clouds,2017-07-11,15
345643,1499788800,-14400,22.79,23.56,19.01,25.0,1013,68,2.06,198,53,Clouds,broken clouds,2017-07-11,16
345644,1499792400,-14400,24.18,24.68,19.42,26.6,1013,64,2.64,194,31,Clouds,scattered clouds,2017-07-11,17
345645,1499796000,-14400,25.24,25.04,20.02,27.0,1012,53,2.58,182,16,Clouds,few clouds,2017-07-11,18
